Code,Name,Parent,Topics,Linked sector name,Linked sector code
law-sec-trs-3,Maritime law,law-sec-trs,"Charterparties (voyage, time and bareboat), Bills of lading and sea waybills, Ship registration and flag state law, Maritime safety (SOLAS, ISM Code), Marine pollution (MARPOL), Ship finance and ship mortgages, Salvage and general average, Maritime liens and arrest, Collision and admiralty, Port and terminal regulation, Seafarer rights and employment, Multimodal transport, International maritime conventions, Cabotage",,
law-sec-trs-4,Aviation law,law-sec-trs,"Air service licensing and air service agreements, Aircraft financing and the Cape Town Convention, Airport regulation and slot allocation, Air traffic management and airspace, Airline administration and insolvency, Aviation safety regulation (ICAO standards), Air passenger rights, Air cargo (Warsaw / Montreal conventions), Drone and UAV regulation, Liability for surface damage, Aviation security regulation",,
law-sec-trs-5,Space law,law-sec-trs,"Space launch licensing, Satellite operations licensing, Radio spectrum for space systems, Space debris and sustainability obligations, Liability for space objects, Space insurance, Space resources and mining, International space law (Outer Space Treaty, Liability Convention, Registration Convention), Export controls on space technology, Remote sensing and Earth observation regulation, Commercial human spaceflight, Space traffic management, In-orbit servicing and active debris removal",,
law-sec-trs-6,Storage law,law-sec-trs,"Warehousing and warehousekeeper liability, Bailment in commercial storage, Bonded warehouses and customs warehousing, Free zones and free ports, Cold chain and temperature-controlled storage, Pharmaceutical and controlled substances storage, Fuel and bulk liquid storage terminals, Self-storage regulation, Grain and bulk commodity storage, Warehouse receipts and negotiable documents of title, Port terminals and freight handling, Logistics hubs and fulfilment centres, Inventory-linked financing",,
law-sec-hos,Hospitality services law,law-sec,,Hospitality services,sec-hos
law-sec-hos-1,Hotel and accommodation law,law-sec-hos,"Hotel and accommodation licensing, Innkeeper's liability, Short-term rental regulation, Tourism regulation, Accommodation pricing obligations, Hotel management agreements, Accommodation rating and classification, Serviced apartment regulation",,
law-sec-hos-2,Food and beverage law,law-sec-hos,"Food business registration and licensing, Alcohol licensing (premises), Food hygiene regulation (HACCP), Food labelling and allergen disclosure, Food safety enforcement, Food additives and contaminants",,
law-sec-ins,Information and recreational services law,law-sec,,Information and recreational services,sec-ins
law-sec-ins-1,Telecommunications law,law-sec-ins,"Spectrum management and licensing, Electronic communications network authorisation, Network access and interconnection, Universal service obligations, Number portability, Net neutrality, International roaming regulation, Infrastructure sharing, Retail tariff regulation, Emergency communications, Submarine cable regulation",,
law-sec-ins-2,Media and entertainment law,law-sec-ins,"Broadcasting licensing and authorisation, Film production and classification, Music licensing and collecting societies, Advertising regulation (broadcast and non-broadcast), Streaming platform regulation, Newspapers and periodicals, Rights licensing in entertainment, Theatre and live events regulation",,
law-sec-ins-3,Sports law,law-sec-ins,"Sports governance and regulatory bodies, Anti-doping regulation, Player and athlete transfers, Agents and intermediaries regulation, Image rights, Sports integrity and match-fixing, CAS arbitration and lex sportiva, Sports broadcasting rights, Athlete eligibility and nationality rules, Sports employment regulation",,
law-sec-ins-4,Gambling law,law-sec-ins,"Gambling licensing and regulation, Remote gambling and online betting, Land-based betting and gaming, Casinos and gaming machines, Lotteries regulation, Gambling advertising and marketing, Social responsibility and problem gambling obligations, Age verification and consumer protection, AML in gambling, Cross-border gambling regulation",,
law-sec-ins-5,Postal services law,law-sec-ins,"Postal services licensing and authorisation, Universal postal service obligation, Postal price controls, Access to postal networks, Cross-border mail and UPU framework, Parcel delivery regulation, Consumer protection in postal services, Postal security and safety, Postal sector competition",,
law-sec-fsv,Financial services law,law-sec,,Financial services,sec-fsv
law-sec-fsv-1,Banking law,law-sec-fsv,"Bank authorisation and licensing, Capital adequacy, Prudential supervision, AML and CTF obligations, Payment services regulation, E-money regulation, Consumer credit regulation, Mortgage regulation and conduct, Deposit protection, Bank resolution and recovery, Crypto-asset regulation, Buy now pay later regulation, Stablecoin regulation",,
law-sec-fsv-2,Investment management and conduct law,law-sec-fsv,Investment firm authorisation and regulation; Fund and asset management authorisation; Collective investment schemes; Conduct of business regulation; Financial promotions; Cross-border financial services; Retail investor disclosure and protection; Packaged retail investment products; Sustainable finance disclosure; Market conduct,,
law-sec-fsv-3,Insurance law,law-sec-fsv,"Insurance authorisation and licensing, Reinsurance regulation, Life assurance regulation, General insurance regulation, Consumer insurance and disclosure obligations, Insurance broker regulation, Captive insurance, Third party rights against insurers, Motor insurance compulsory requirements, Run-off and legacy insurance",,
law-sec-fsv-4,Operational and digital resilience law,law-sec-fsv,ICT risk management frameworks; ICT incident classification and reporting; Digital operational resilience testing (TLPT); ICT third-party risk management; Contractual requirements for ICT providers; Oversight of critical ICT third-party providers; Operational resilience standards (important business services and impact tolerances); Outsourcing regulation in financial services,,
law-sec-fsv-5,Financial market infrastructure law,law-sec-fsv,CCP authorisation and prudential requirements; Clearing obligations for OTC derivatives; Trade reporting obligations; Risk mitigation for uncleared derivatives; CSD authorisation and operating requirements; Settlement discipline; Trade repository reporting; CCP recovery and resolution; PFMI (Principles for Financial Market Infrastructures) compliance,,
law-sec-fsv-6,Pensions and occupational savings law,law-sec-fsv,Occupational pension scheme authorisation and supervision; Trustee duties and governance; Scheme funding and actuarial valuations; Pension benefit rights; Member communications and disclosure obligations; Cross-border pension schemes; Personal pension schemes and individual savings accounts; DC investment governance; Defined benefit liability management; Pension scheme buy-in and buyout transactions; Auto-enrolment obligations,,
law-sec-res,Real estate sector law,law-sec,,Real estate,sec-res
law-sec-res-1,Commercial real estate law,law-sec-res,"Commercial leases and landlord and tenant law, Commercial property development, Real estate investment trusts (REITs), Real estate finance, Commercial property management, Lease assignment and subletting",,
law-sec-res-2,Residential real estate law,law-sec-res,"Residential conveyancing, Residential tenancy regulation, Housing standards enforcement, Social housing allocation and management",,
law-sec-res-3,Rural real estate law,law-sec-res,"Agricultural land sales and purchases, Mineral rights transactions, Forestry and woodland ownership",,
law-sec-pub,Public sector and NGO law,law-sec,,Public sector and NGOs,sec-pub
law-sec-pub-1,Foreign affairs law,law-sec-pub,"Diplomatic privileges and immunities, Consular law and consular services, Vienna Convention obligations, Treaty negotiation and domestic ratification, Diplomatic missions and premises, Foreign affairs powers, State immunity in diplomatic contexts, Cultural property repatriation, Extraterritorial jurisdiction",,
law-sec-pub-2,Defence law,law-sec-pub,"Defence procurement, Military law and military justice, Armed forces discipline, Arms export controls and licensing, Dual-use goods regulation, Status of forces agreements (SOFA), Military basing and access agreements, Veterans' rights and benefits, Military personnel rights and welfare, Defence industrial base regulation, Weapons systems regulation, NATO and alliance obligations",,
law-sec-pub-3,Public order and safety law,law-sec-pub,"Police powers and accountability, Public order legislation, Emergency powers, Civil protection law, Fire safety regulation, Surveillance by public authorities, Protest and assembly regulation, Licensing for events and public spaces",,
law-sec-pub-4,Social security law,law-sec-pub,"Social security entitlements, Means-tested benefits, Contributory benefits, Disability and incapacity benefits, State pension, Benefits disputes and tribunal appeals, Social insurance contributions, Overpayment recovery, Benefits fraud",,
law-sec-pub-5,Migration law,law-sec-pub,"Immigration control, Skilled worker visas, Student visas, Family reunion and dependants, Asylum and refugee status determination, Statelessness, Nationality and citizenship law, Naturalisation, Deportation and removal, Immigration detention",,
law-sec-pub-6,General government law,law-sec-pub,"Central government organisation and powers, Local government law and decision-making, Public procurement obligations, Public contracts and concessions, Government transparency and information, Delegated legislation and secondary powers, Public body accountability, Municipal law",,
law-sec-pub-7,Charitable and not for profit law,law-sec-pub,"Charity registration and recognition, Trustee duties and regulation, Nonprofit governance, Public benefit requirements, Charitable purposes, Fundraising regulation, Charity accounting and reporting, Foundation and endowment law, Philanthropy, Grant terms and conditions",,
law-sec-pub-8,International organisation law,law-sec-pub,"International organisation privileges and immunities, Headquarters agreements, Membership obligations and contributions, Voting rights and governance, Immunity from jurisdiction, Staff regulations and internal administration, International financial institutions (IMF, World Bank, regional banks), UN system law, Observer status, International organisation dispute resolution, Peacekeeping legal frameworks",,
law-sec-edu,Education law,law-sec,,Education,sec-edu
law-sec-edu-1,Education law,law-sec-edu,"School governance and admissions, Curriculum obligations and educational inspection, Inclusive education law, Higher education regulation, Student rights and consumer protection, Student loans and funding regulation, University governance and autonomy, International student visas and compliance, Research funding regulation",,
law-sec-hsc,Care law,law-sec,,Care,sec-hsc
law-sec-hsc-1,Healthcare law,law-sec-hsc,"Healthcare provider licensing and registration, Mental health law (detention and compulsory treatment), Capacity and consent to treatment, Medical device regulation, Pharmaceutical regulation and licensing, Clinical trials regulation, Patient safety law, Medicines regulation, Public health powers, End of life law, Assisted dying regulation, Healthcare data governance",,
law-sec-hsc-2,Social care law,law-sec-hsc,"Social care provider registration and regulation, Adult safeguarding, Children's social care law, Care home regulation, Domiciliary care regulation, Personal care budgets, Mental capacity in social care, Local authority duties in social care, Foster care and adoption regulation, Social care workforce regulation",,
law-sec-pro,Professional services law,,,Professional services,sec-pro
law-sec-pro-1,Legal services law,law-sec-pro,"Regulation of legal services, Professional licensing of lawyers, Legal professional privilege (regulatory dimension), Consumer protection in legal services, In-house counsel regulation, International practice and cross-border provision, AI and legal services regulation",,
law-sec-pro-2,Accounting / audit services law,law-sec-pro,"Statutory audit regulation, Audit firm governance, Auditor independence and ethical standards, Auditor liability, Public interest entity audit regulation, Disciplinary proceedings in accountancy, Insolvency practitioner regulation (accountancy dimension), Tax agent regulation",,
law-sec-pro-3,Other regulated professions law,law-sec-pro,"Regulation of regulated professions, Title protection and restricted professional titles, Disciplinary proceedings in regulated professions, Multi-disciplinary professional practices, Overseas qualification recognition, Consumer protection in regulated professional services",,
