Code,Name,Parent,Definition and exclusions,Synonyms,Topics
wkt-enb-7,Organisational initiatives,wkt-enb,"Legal support for the implementation of major internal programmes, including post-transaction integration, organisational change and business transformation initiatives. This does not include projects which can be categorised in other work types (e.g. use Development for product development programmes, use GRC & policy for horizon scanning and compliance programmes).",,"Post-merger integration, Operational restructuring implementation, Change management programmes, Digital transformation, Outsourcing implementation, Office relocation, Carve-out implementation"
wkt-enb-8,Authority requests,wkt-enb,"Responding to court orders, regulatory demands and official requests requiring an organisation to produce, preserve or surrender documents, data or assets.",,"Document production orders, Garnishment and attachment, Freezing order compliance, Evidential production requests, Warrant response, Subpoena and witness summons response, Regulatory information requests, Data preservation orders"
wkt-enb-9,Representation (residual),wkt-enb,"Representing the interests of an individual or organisation in an official, administrative or public process that does not fall within a more specific work type.",,"Regulatory applications, Licence and permit applications, Planning and zoning applications, Public consultation responses, Administrative appeals, Ombudsman representations, Statutory notifications, Powers of attorney administration"
wkt-enb-10,Advice (residual),wkt-enb,Advice and assistance on specific legal questions that does not fall within a more specific work type. Also includes guidance and training.,,"Legal risk advice, Statutory interpretation, Ad hoc legal opinions, Due diligence advice, Training delivery, Legal guidance notes, Template and precedent advice, Civil liability advice, Criminal responsibility advice, Regulatory responsibility advice, Strategic advice"
wkt-fin,Finance,wkt,"Work to structure, document and execute financial transactions, instruments and arrangements. Often used alongside another work type (such as Transaction or Development) but also arises independently, as in a refinancing or fund formation.
",,
wkt-fin-1,Debt finance,wkt-fin,"The structuring, documentation and execution of financing arrangements in which capital is provided by way of debt, including loans, bonds and hybrid instruments.",,"Syndicated loans, Bilateral loans, Leveraged finance, Mezzanine debt, High yield bonds, DCM (debt capital markets), Convertible notes, Bridge financing, Direct lending, Private credit, Repo and reverse repo, Structured finance, Term loan B"
wkt-fin-2,Equity finance,wkt-fin,"The structuring, documentation and execution of financing arrangements in which capital is provided by way of equity or equity-linked instruments.",ECM,"IPO, Rights issue, Follow-on offering, ECM (equity capital markets), Private equity investment, Venture capital, Growth capital, PIPE transaction, Preferred equity, Buybacks, Stock splits"
wkt-fin-3,Derivatives,wkt-fin,"The structuring, documentation and execution of transactions involving financial instruments whose value derives from an underlying asset, rate, index or reference.",,"Interest rate swaps, Currency swaps and FX forwards, Credit default swaps, Equity derivatives, Commodity derivatives, Options, Futures, Total return swaps, ISDA master agreement documentation, Structured products"
wkt-fin-4,Securitisation,wkt-fin,"Transactions in which cash-flow generating assets are pooled and used to back securities issued to investors, including true sale and synthetic structures.",,"ABS (asset-backed securities), RMBS (residential mortgage-backed securities), CMBS (commercial mortgage-backed securities), CLO (collateralised loan obligations), CDO, True sale securitisation, Synthetic securitisation, Conduit structures, Covered bonds"
wkt-fin-5,Project and asset finance,wkt-fin,"Financing secured against or structured around the cash flows or value of a specific project or asset, typically on a non-recourse or limited-recourse basis.",,"Project finance (non-recourse), Asset finance, Infrastructure finance, PPP financing, Energy project finance, Aviation finance, Ship finance, Export credit financing, Islamic project finance"
wkt-fin-6,Trade and receivables finance,wkt-fin,Short-term financing of trade transactions and the monetisation of receivables arising from them.,Trade finance,"Letters of credit, Documentary credits, Receivables financing, Invoice discounting, Factoring, Supply chain finance, Forfaiting, Banker's acceptances, Trade guarantees"
wkt-fin-7,Collective investments,wkt-fin,"The establishment, structuring, documentation and ongoing operation of vehicles through which capital from multiple investors is pooled and managed.",Fund formation,"Investment fund formation, PE fund, VC fund, Hedge fund, REIT, Infrastructure fund, Credit fund, GP/LP arrangements, Co-investment structures, Feeder funds, Fund documentation"
wkt-fin-8,Loan portfolio sales,wkt-fin,"The sale, purchase or transfer of portfolios of loans or other credit assets, whether performing or non-performing.",,"NPL (non-performing loan) portfolio sales, Performing loan portfolio sales, Loan-on-loan financing, Due diligence on loan portfolios, Regulatory capital transactions, Synthetic risk transfer"
wkt-grc,GRC and policy,wkt,"Work to build, maintain and operate an organisation's governance structures, risk management frameworks and compliance programmes. Also includes influencing and responding to external legal and regulatory policy.",,
wkt-grc-1,Government affairs,wkt-grc,"Work directed at influencing or responding to the development of legislation, regulation and public policy, including impact assessment, lobbying, advocacy and engagement with industry bodies and public authorities.",,"Regulatory consultation responses, Legislative impact assessment, Lobbying, Policy advocacy, Industry body engagement, Government relations, Pre-legislative submissions"
wkt-grc-2,Regulatory affairs,wkt-grc,"Securing and maintaining regulatory approvals and authorisations, responding to proposed regulatory changes or guidance, and providing ongoing regulatory advice within a specific regulatory regime.",Regulatory compliance advice,"Licence and authorisation applications, Regulatory approval processes, Regulatory change management, Ongoing regulatory advice, Regulatory horizon scanning, Regulatory relationship management, Product approval and clearance"
wkt-grc-3,Risk and compliance,wkt-grc,"Designing, implementing and monitoring an organisation's risk and compliance frameworks, controls and processes, including gap analysis, horizon scanning and compliance testing.",,"Compliance framework design, Control development, Gap analysis, Compliance monitoring and testing, Compliance audit, Risk assessment, Horizon scanning, AML/KYC programme design, Training programme design, Policy and procedure development"
wkt-grc-4,Governance,wkt-grc,"Designing, implementing and maintaining governance frameworks, board and committee structures, delegated authorities, codes of conduct and assurance mechanisms.","Board governance, corporate governance","Board governance frameworks, Board and committee terms of reference, Codes of conduct, Delegation of authority frameworks, Assurance frameworks, Governance reviews, ESG governance structures, Whistleblowing frameworks, Reporting frameworks"
wkt-ivp,Investigative process,wkt,"Work to establish what has or has not occurred, through fact-finding, formal investigations, official inquiries or enforcement proceedings.",,
wkt-ivp-1,Incident response,wkt-ivp,"The legal management of and response to a specific adverse event affecting an organisation's operations, data, assets, personnel or reputation, typically requiring urgent cross-functional coordination.",,"Cybersecurity and data breach response, Health and safety incident, Environmental incident, Product safety incident, Financial crime incident, Whistleblowing response, Reputational crisis management, Regulatory notification, Natural disaster or force majeure response"
wkt-ivp-2,Inquiry (official),wkt-ivp,"A formal public process, typically conducted by or at the direction of an authority, to investigate matters of public concern and make findings of fact or recommendations, rather than to determine individual liability.",,"Official public inquiry, Non-statutory / independent inquiry, Truth and reconciliation commission, Planning inquiry"
wkt-ivp-3,Investigation (internal),wkt-ivp,"A structured fact-finding process conducted within an organisation to investigate potential misconduct, regulatory breaches or other matters of concern, typically conducted so as to preserve legal professional privilege.",,"Internal fraud investigation, Misconduct investigation, Whistleblowing investigation, HR investigation, Data breach investigation, Anti-bribery and corruption investigation, Regulatory breach investigation, Dawn raid response (internal dimension)"
wkt-ivp-4,Investigation (official),wkt-ivp,"A formal fact-finding process conducted by a state, regulatory or professional body to investigate potential wrongdoing by individuals or organisations.","Regulatory investigation, criminal investigation","Police investigation, Regulatory investigation, Competition authority investigation, Tax investigation, Professional regulatory investigation, Cross-border investigation, Dawn raid, Monitorship"
wkt-ivp-5,Prosecution or enforcement,wkt-ivp,"Criminal prosecution, disciplinary proceedings or civil enforcement action brought by a state, regulatory or professional authority against an individual or organisation alleged to have engaged in wrongdoing.",,"Criminal prosecution, Regulatory enforcement action, Civil penalty proceedings, Disciplinary proceedings, Confiscation and asset recovery, Extradition, Deferred prosecution agreement (DPA), Corporate criminal liability proceedings, Sentencing"
wkt-dir,Dissolution and restructuring,wkt,"Work to wind up or restructure the affairs of an organisation or individual, solvent or insolvent, alive or dead. Includes formal liquidation processes and the administration of deceased estates.",,
wkt-dir-1,Reorganisation (solvent),wkt-dir,"A restructuring of an organisation's finances, contractual arrangements or corporate structure undertaken while the organisation remains solvent.",,"Corporate reorganisation, Debt refinancing, Capital structure optimisation, Covenant renegotiation, Consensual debt restructuring, Group simplification"
wkt-dir-2,Turnaround / liquidation,wkt-dir,"Formal insolvency, liquidation, bankruptcy and related processes for organisations or individuals in financial difficulty, including value-preservation strategies pursued in that context.",,"Formal insolvency proceedings, Liquidation, Bankruptcy, Receivership, Debt restructuring, Turnaround management, Provisional liquidation, Composition with creditors, Cross-border insolvency"
wkt-dir-3,Deceased estates,wkt-dir,"The administration and distribution of the estate of a deceased individual, including grant of probate or equivalent, estate accounts and distribution to beneficiaries.",,"Probate (and local equivalent), Letters of administration, Estate accounts, Distribution to beneficiaries, Contested estates, Inheritance and family provision claims, Foreign assets in estate"
wkt-dir-4,Separation,wkt-dir,"The legal dissolution or unwinding of a personal or business relationship, including the allocation of shared assets, rights and obligations as between the parties.",,"Divorce and dissolution, Financial settlement on separation, Business partnership dissolution, Joint venture termination, Shareholder exit arrangements, Relationship property division"
wkt-tra,Transaction,wkt,"Work to bring about a change in legal status, ownership, rights or obligations, including the negotiation, documentation and execution of contracts and other legal arrangements giving effect to that change.",,
wkt-tra-1,M&A,wkt-tra,"The purchase, sale, merger or combination of a business or a controlling or significant interest in it, including demergers and spin-outs.",,"Merger, Share acquisition, Asset acquisition, Demerger, Spin-out, Public takeover, Concentrative joint venture, Management buyout (MBO), Leveraged buyout (LBO), Carve-out"
wkt-tra-2,Commercial contracts,wkt-tra,"Negotiating and executing commercial contracts for the provision of services, supply of goods, licensing of technology or intellectual property, and other commercial arrangements between businesses.",,"Services agreements, Supply of goods contracts, Technology and software licensing, IP licensing, Outsourcing contracts, Cooperative joint ventures, Strategic alliances, Agency and distribution agreements, Framework agreements"
wkt-tra-3,Non-commercial transaction,wkt-tra,"Legal transactions that are not primarily commercial in nature, including those arising in a personal, family, charitable or employment context.",,"Family property settlement, Gift, Charitable donation or transfer, Trust settlement, Personal asset transfer, Employment-related transfer, Inheritance advance"
