Code,Name,Parent,Definition and exclusions,Topics
law-evp-2,Procedural law,law-evp,"Law governing the conduct of legal proceedings from initiation through to judgment and enforcement, including pre-action obligations, pleadings, interim relief, costs and appeals.","Civil procedure, Criminal procedure, Limitation periods, Service of process, Pleadings, Interim remedies, Costs, Appeals, Class and representative proceedings, Enforcement of court orders"
law-fam,Family law,law,"Law governing family relationships and status, financial arrangements within families, and the welfare of children.",
law-fam-1,Relationships,law-fam,"Law governing the formation and legal recognition of family relationships and associated status, rights and obligations, including pre-nuptial and cohabitation planning.","Marriage, Cohabitation, Pre-nuptial agreements, Cohabitation agreements, Declarations of status, Void and voidable relationships"
law-fam-2,Divorce and separation,law-fam,Law governing the dissolution or legal recognition of breakdown of family relationships and associated financial arrangements.,"Divorce, Nullity, Financial settlement, Property division, Maintenance and spousal support, Religious divorce law"
law-fam-3,Children,law-fam,"Law governing the welfare of children and the rights and responsibilities of those who care for them, including parental responsibility, custody, child protection and adoption.","Parental responsibility, Child arrangements, Custody and access, Guardianship, Adoption, Fostering, Child protection and care proceedings, International child abduction, Child maintenance, Surrogacy"
law-fam-4,Domestic abuse,law-fam,"Law protecting individuals from domestic violence, abuse and related harm, including civil protective orders and related proceedings.","Domestic violence, Harassment, Stalking, Coercive control, Protective injunctions"
law-fin,Financial law,law,"Law governing financial obligations, instruments and transactions between parties, independently of sector-specific financial regulation. For sector-specific regulation, see Financial services law (law-sec-fsv).",
law-fin-1,Payment law,law-fin,"Law governing payment obligations and payment instruments, including the creation, transfer and discharge of negotiable instruments and the legal mechanics of settlement. Excludes payment system regulation (see Financial services law, law-sec-fsv)","Negotiable instruments, Bills of exchange, Cheques, Promissory notes, Bank transfers, Payment obligations, Discharge by payment"
law-fin-2,Credit law,law-fin,"Substantive law governing credit and lending relationships and the rights and duties of creditors and debtors, including the transfer and assignment of credit claims. Excludes banking regulation and consumer credit regulation.","Loan agreements, Debtor-creditor relationship, Interest, Assignment and transfer of debt, Receivables, Trade finance instruments (letters of credit, documentary credits)"
law-fin-3,Security and collateral law,law-fin,"Law governing the creation, perfection, priority and enforcement of security interests over real property, personal property and financial assets. Includes financial collateral arrangements","Mortgage, Pledge, Lien, Retention of title, Perfection, Priority, Enforcement"
law-fin-4,Guarantee and credit support law,law-fin,"Law governing personal (as opposed to proprietary) credit support arrangements, under which one person undertakes liability for another's obligation. Distinct from security over assets (law-fin-3).","Guarantee, Indemnity, Performance bond, Demand guarantee, Standby letter of credit, Surety"
law-fin-5,Financial market contracts,law-fin,"Law governing the framework and enforceability of financial market contracts, including close-out netting, set-off rights and standardised master agreement structures. Distinct from regulation of financial markets themselves.","Close-out netting, Set-off, Master agreements (ISDA, GMRA, GMSLA), Safe harbours in insolvency, Financial collateral arrangement enforcement"
law-fin-6,Sovereign and public finance law,law-fin,"Law specific to government and sovereign entities as borrowers, including sovereign bond documentation, state immunity in commercial disputes, and sovereign debt restructuring.","Sovereign bonds, Government borrowing, State immunity in commercial contexts, Sovereign debt restructuring, Multilateral lending"
law-inf,Information law,law,"Law governing freedom of expression, access to information, data protection and the regulation of information and digital services.",
law-inf-1,Expression law,law-inf,"Law governing freedom of expression and its limits, including civil wrongs arising from speech and publication, criminal offences where unlawful speech or publication is the primary wrong, and the constitutional protection of expression, assembly and association. Covers hate speech, sedition and related public order offences where expressive content is the central concern of the law. The civil or criminal character of a matter is captured by the Work types facet rather than by separate categorisation here.

Excludes: offences where expression is instrumental to a broader criminal purpose rather than the primary wrong - for example, terrorist publications and glorification offences (see Violence, law-wro-1); espionage and official secrets (see National security law, law-inf-5); and cyber offences (see Digital regulation, law-inf-4, or Illicit goods and markets, law-wro-3, as appropriate). Dual-tagging with the relevant Wrongdoing type is appropriate where a matter has both dimensions.","Defamation, Libel and slander, Malicious falsehood, Media law, Obscene publications, Protest and assembly rights, Freedom of expression (constitutional), Freedom of association and assembly, Hate speech offences, Incitement to hatred, Incitement to violence (public order context), Sedition, Unlawful publications"
law-inf-2,Freedom of information law,law-inf,"Law governing the right to access information held by public authorities, including statutory rights of request, exemptions, appeals and the open justice principle.","Statutory rights to access public information, Proactive publication obligations, Exemptions and refusals, Appeal mechanisms, Open justice"
law-inf-3,Data protection and privacy,law-inf,"Law governing the processing of personal data and the right to privacy, including data protection obligations, data subject rights and restrictions on tracking and surveillance. Distinct from digital regulation (law-inf-4) and freedom of information (law-inf-2). Includes the tort of invasion of privacy but excludes privacy in the US constitutional sense of non-interference with autonomy.","Data protection law (and national equivalents), Data subject rights, International data transfers, Data breach notification, Privacy by design and default, Cookies and tracking, Biometric and special category data, AI and data protection, Surveillance law (data protection aspects)"
law-inf-4,Digital regulation,law-inf,"Regulation of digital platforms, online services and digital infrastructure, including online safety, AI-specific regulation, platform liability and content moderation obligations. Distinct from Data protection and privacy (law-inf-3) and Media and entertainment law (law-sec-ins-2).","Online platform and digital services regulation, Social media regulation, Algorithmic accountability, Platform liability, Internet governance, Cybersecurity regulation, Content moderation obligations, Age-appropriate design, Children's online safety, Dark patterns regulation"
law-inf-5,National security law,law-inf,"Law governing national security and the exercise of security-related state powers, including official secrets, counter-terrorism, intelligence oversight and national security aspects of foreign investment and merger control. Covers the administrative and regulatory dimensions of national security (official secrets, investment screening, intelligence oversight). Sanctions imposed on national security grounds are in Sanctions (law-cbo-4). Criminal national security offences (terrorism, espionage) are in Information and associational misconduct (law-wro-4).","Official secrets and state secrecy, Intelligence oversight, National security vetting, Counter-terrorism law, Foreign investment screening, National security merger control, Detention and surveillance powers"
law-isv,Insolvency and restructuring law,law,"Law governing insolvency, restructuring and related processes for corporate entities and individuals in financial difficulty.",
law-isv-1,Corporate insolvency law,law-isv,"Law governing insolvency, restructuring and related processes for corporate entities, including formal insolvency procedures, restructuring tools and the obligations and liabilities of directors in an insolvency context.","Formal insolvency proceedings, Liquidation (creditors' voluntary and compulsory), Receivership, Cross-border insolvency, Fraudulent conveyance, Preference payments, Equitable subordination"
law-isv-2,Individual insolvency law,law-isv,"Law governing personal insolvency and debt relief processes for individuals, including bankruptcy, voluntary arrangements and related debt management mechanisms.","Bankruptcy, Discharge from bankruptcy, After-acquired property, Annulment"
law-isv-3,Public insolvency law,law-isv,"Insolvency-equivalent processes applicable to public or quasi-public entities where standard corporate insolvency law is displaced or supplemented by special mechanisms, typically to protect continuity of essential services. Distinct from sovereign debt (see law-fin-6). Does not include utility or industrial sector-specific insolvency regimes (e.g. for publicly owned rail services).",
law-ipr,Intellectual property law,law,"Law governing rights in creative and innovative works, commercial identifiers and related intangible assets.",
law-ipr-1,Copyright,law-ipr,"Law governing the rights of creators and copyright owners in literary, artistic, musical and related works, including subsistence, ownership, infringement and licensing.","Literary, artistic and musical works, Film and broadcast rights, Software copyright, Performers' rights and neighbouring rights, Moral rights, Copyright infringement, Licensing and assignment, Copyright term, Orphan works, Public lending right, Collective management / collecting societies"
law-ipr-2,Patent,law-ipr,"Law governing the rights of inventors and patent holders in novel technical inventions, including patentability, prosecution, infringement, validity and licensing.","Patentability, Patent prosecution, Infringement, Patent validity, Standard essential patents (SEPs), FRAND licensing, Employee inventions, Patent licensing"
law-ipr-3,Design right,law-ipr,"Law governing the protection of the visual appearance of products and other designs, including registered and unregistered design rights.","Registered design, Infringement, Validity, Design licensing"
law-ipr-4,Confidentiality,law-ipr,"Law governing obligations of confidence and the protection of confidential information and trade secrets, including equitable duties and statutory trade secret protection.","Breach of confidence, Trade secrets, Non-disclosure agreements, Employee confidentiality obligations, Springboard doctrine, Duty of confidence"
law-ipr-5,Trade mark,law-ipr,"Law governing rights in trade marks, trade names and other commercial identifiers that distinguish goods and services, including registration, infringement, passing off and licensing.","Trade mark registration, Infringement, Dilution, Revocation for non-use, Bad faith applications, Comparative advertising, Trade mark licensing"
law-ipr-6,Plant breeders right,law-ipr,"Law governing the rights of plant breeders in newly developed plant varieties, enabling control over propagation and commercialisation for a defined period.","New plant variety rights, Essentially derived varieties, Farmer's privilege, Breeder's exemption, UPOV Convention"
law-ipr-7,Database right,law-ipr,"Law governing rights in databases separate from copyright, protecting substantial investment in the collection, verification or presentation of data contents.","Database copyright, Originality in databases"
law-ipr-8,Indication of origin,law-ipr,"Law governing rights in signs identifying the geographical origin or provenance of goods (and in some systems, services) where origin confers qualities, characteristics or reputation protected as a sui generis right independently of trade marks. Includes EU, UK and international GI regimes and their enhanced variants for wines and spirits. Distinct from Trade mark law (law-ipr-5), under which certification marks and collective marks are protected. Distinct also from rules of origin for customs purposes (see Trade law, law-cbo-3) and from consumer-facing country-of-origin labelling (see Consumer law, law-reg-4, and sectoral labelling regimes).","Geographical indications (GIs), Appellations of origin, Wine and spirits GI protection, TRIPS Articles 22–24, Lisbon Agreement, Homonymous and conflicting indications, Generic terms and genericide, Enforcement and infringement, Relationship with prior trade marks"
law-lab,Labour law,law,"Law governing the employment relationship, working conditions and collective labour relations.",
law-lab-1,Individual employment law,law-lab,"Law governing the individual employment relationship, including the rights and obligations of employers and employees in respect of terms and conditions, termination, discrimination and related matters.","Employment status (employee, worker, self-employed), Employment contracts, Dismissal, Wrongful dismissal, Employment discrimination, Pay and minimum wage, Restrictive covenants, Whistleblowing (employment), Family-related rights"
law-lab-2,Employee benefits law,law-lab,"Law governing remuneration and benefits provided to employees beyond basic pay, including pension provision, share schemes, bonus arrangements and executive compensation.","Workplace benefits, Bonus and incentive schemes, Share options and employee share schemes, Executive compensation, Employee ownership"
law-lab-3,Trade unions and collective bargaining,law-lab,"Law governing collective labour relations, including the recognition and operation of trade unions, collective bargaining, information and consultation obligations and industrial action.","Collective agreements, Industrial action, Strikes, Lock-outs, Picketing"
law-lnd,Land law,law,Law governing rights in land and the use and development of land.,
law-lnd-1,General land law,law-lnd,"Law governing the ownership, use and transfer of interests in land, including freehold and leasehold ownership, easements, covenants and related real property rights. For the security interest framework applied to land and other assets, use Security and collateral law (law-fin-3).","Land ownership, Co-ownership, Adverse possession, Boundary disputes, Land registration, Native title / customary land rights, Eminent domain / compulsory acquisition"
law-lnd-2,Planning law,law-lnd,"Law governing the use and development of land, including planning permission, development consent, listed building controls and associated obligations. Excludes environmental impact assessments (use Environmental law for these). The planning dimension of development consent orders lives here (see infrastructure for the project delivery dimension).","Zoning, Municipal planning law, Environmental impact assessment in planning, Development rights and permits"
law-lnd-3,Environmental law,law-lnd,"Law governing environmental obligations, including contamination, pollution, environmental permits, nature conservation and climate-related legal requirements. Covers both land-specific and broader environmental duties. This type covers civil environmental obligations and regulatory permits. Excludes climate-specific policy frameworks (ETS, carbon markets, net zero legislation) - these are in Climate law (law-reg-7). Excludes criminal environmental and pollution offences - these are in Environmental and safety misconduct (law-wro-5).","Contaminated land, Pollution and emissions, Water pollution, Air quality, Environmental permits, Biodiversity and nature conservation, Environmental impact assessment, Environmental liability"
law-obl,Obligations law,law,"The law of civil obligations between private parties arising from contract, wrongful acts and unjust enrichment, together with the law of property in moveable assets.",
law-obl-1,Contract law,law-obl,"The substantive law governing the formation, interpretation, performance, breach and termination of contracts. Excludes specific contract types covered by other categories (e.g. employment contracts: Labour law; financial contracts: Financial law). Unfair or unconscionable terms in contracts are covered here, but double tag with Consumer law if there is a consumer involved.","Formation, Interpretation, Misrepresentation, Breach, Remedies, Frustration, Agency, Assignment, Unfair contract terms, Exclusion clauses, Penalties, Liquidated damages, Third party contract rights, Illegality, Mistake, Duress, Undue influence, Good faith obligations, Implied terms"
law-obl-2,Delict / tort law,law-obl,"The law of civil wrongs and associated remedies imposed by law rather than contract. Excludes (1) wrongs in respect of personal property (see Personal property law) (2) land (see Land law) (3) negligent misstatement, breach of privacy and other information-related wrongs (see Information law).","Negligence, Nuisance, Economic torts, Occupier's liability, Liability for harm by animals, Intentional torts / delicts, Product liability, Personal injury"
law-obl-3,Restitution and unjust enrichment,law-obl,"Law governing obligations to restore value received without legal justification, including mistaken payments, failures of consideration and analogous situations. Distinct from compensation for breach of contract or tort.","Unjust enrichment, Mistaken payments, Failure of consideration, Knowing receipt, Change of position defence, Subrogation, Tracing, Quantum meruit"
law-obl-4,Law of agency,law-obl,"Law governing the relationship between a principal and agent, including the creation and scope of authority, the duties owed between principal and agent, the legal effects of acts done by an agent on relations between the principal and third parties, and the termination of agency. Includes the statutory framework governing commercial agents. Excludes financial intermediary regulation (see Financial services law, law-sec-fsv).
","Actual authority, Apparent and ostensible authority, Usual authority, Ratification, Disclosed principal, Undisclosed principal, Agent's duties (fiduciary duty, duty of care, duty to account), Principal's duties to agent, Termination of agency, Sub-agents, Del credere agents, Agent's personal liability to third parties"
law-paf,Personal affairs,law,"Law governing the personal financial and welfare affairs of individuals, including trusts, succession and personal capacity.",
law-paf-1,"Trusts, wills and estate planning",law-paf,"Law governing the creation and administration of trusts, the making of wills, and related estate and tax planning, including lifetime gifts and trust structures for planning purposes. Charitable trusts are included as a topic. Charity regulation and nonprofit governance more broadly are covered in Charities and nonprofits (law-sec-pub-7.","Trust formation and structure, Trustee duties and powers, Beneficial interests, Testamentary capacity, Will drafting and formalities, Lifetime gifts, Trusts for vulnerable beneficiaries, Charitable trusts, Purpose trusts"
law-paf-2,Succession and estate administration,law-paf,"Law governing the administration of deceased persons' estates, including probate, intestacy rules and disputes about entitlement to estate assets.","Probate, Letters of administration, Intestacy rules, Administration of estate assets, Inheritance and family provision claims, Disputed estates, International succession, Religious inheritance law"
law-paf-3,Personal capacity,law-paf,"Law governing decisions for individuals who lack or may lack mental capacity, including powers of attorney, court of protection proceedings, deprivation of liberty and adult safeguarding.","Mental capacity, Advance decisions / living wills, Guardianship, Best interests decisions, Elder law, Adult safeguarding"
law-prp,Personal property law,law,"Law governing ownership and other property interests in moveable property, both tangible (goods) and intangible (things in action, digital assets). Excludes intellectual property (see Intellectual property law, law-ipr) and security interests over personal property (see Security and collateral law, law-fin-3).",
law-prp-1,Goods,law-prp,"Law governing rights in tangible moveable property, including the sale, hire, bailment and transfer of ownership of goods. Does not cover security interests - see Financial law for that.","Ownership of goods, Sale of goods, Hire and bailment, Transfer of title, Nemo dat rule, Retention of title (goods), Goods in transit"
law-prp-2,Intangible property,law-prp,"Law governing rights in intangible property other than intellectual property, including things in action, financial claims, digital assets and their assignment and transfer. Excludes intellectual property (see Intellectual property law, law-ipr) and security interests in intangible property (see Security and collateral law, law-fin-3). Covers the property law characterisation of things in action and their assignment. Receivables financing and factoring as credit transactions are addressed in Credit law (law-fin-2).","Things in action / choses in action, Assignment, Debt factoring, Digital assets, Negotiable documents of title"
law-pub,Public law,law,Law governing the exercise of public power and the relationship between individuals and the state.,
law-pub-1,Administrative and constitutional law,law-pub,"Law governing the lawful exercise of public power, including the constitutional framework of government, judicial review of public decisions, and the liability of public authorities. Use in conjunction with the Sectors facet where subject-matter context is needed. ","Constitutional principles (separation of powers, rule of law), Indigenous peoples, Natural justice and procedural fairness, Legitimate expectation, Proportionality, Vires, Public authority liability, Judicial review, Standing / locus standi, Public law remedies"
law-pub-2,Human and individual rights,law-pub,"Law governing fundamental rights of individuals enforceable against public authorities and, in some systems, private parties. Includes international human rights instruments (ECHR, ICCPR etc.) and domestic constitutional or statutory rights frameworks. Excludes freedom of expression and association issues which are addressed under Information Law.","Right to life, Right to liberty and security, Prohibition of torture, Right to a fair trial, Right to private and family life, Freedom of religion and belief, Right to vote, Property rights, Non-discrimination, Remedies for rights violations"
law-reg,Regulatory,law,"Law taking the form of regulatory regimes imposed by the state across market, social and environmental policy domains, including competition, consumer protection, regulated industries, professional standards, equality and climate obligations. Distinct from sector-specific regulation of particular industries (see Sectoral laws, law-sec) and from the general frameworks of public law and private civil law.",
law-reg-1,Competition law,law-reg,"Law governing competition between undertakings, prohibiting anti-competitive agreements, abuse of dominance and concentrations / mergers that substantially reduce competition. Includes civil, regulatory and criminal dimensions.","Anti-competitive agreements, Cartels, Abuse of dominant position, Merger control, Vertical agreements, Leniency programmes, Competition damages actions, Domestic and international competition law"
law-reg-2,State aid law,law-reg,"Law regulating financial support given by public authorities to undertakings, prohibiting aid that distorts competition except where justified by treaty provisions or block exemptions.",State subsidies and grants
law-reg-3,Utility and monopoly regulation,law-reg,"Law governing regulated industries where market competition is insufficient to protect consumer and public interests, covering price controls, access obligations, service standards and licensing frameworks.","Price regulation, Universal service obligations, Access and interconnection, Quality and service standards, Consumer protection in regulated markets, Licences and concessions, Regulatory appeals"
law-reg-4,Consumer law,law-reg,"Law governing the rights of consumers in their dealings with traders, including protection from unfair contract terms, misleading practices and inadequate product and service standards. Excludes product liability (see Delict / tort law, law-obl-2) and consumer credit regulation (see Financial services law, law-sec-fsv).","Consumer contracts, Unfair terms in consumer contracts, Distance selling and e-commerce, Consumer rights and remedies (repair, replacement, refund), Consumer information obligations, Misleading and aggressive commercial practices, Consumer ADR"
law-reg-5,Professional regulation,law-reg,"Law governing the authorisation, standards and discipline of regulated professions, including the powers of professional regulators and disciplinary processes.","Professional licensing and authorisation, Fitness to practise, Disciplinary proceedings, Regulatory body powers, Continuing professional development requirements, Professional indemnity requirements, Self-regulatory regimes"
law-reg-6,Equality and cohesion law,law-reg,"Law governing equality of treatment and opportunity, and protection from discrimination on grounds such as race, sex, age, disability and religion. May be used in conjunction with Labour law (law-lab) for employment discrimination matters.","Anti-discrimination law, Diversity and equal opportunity obligations, Minority rights, Social rights, Community development law, Positive action / special measures"
law-reg-7,Climate law,law-reg,"Law specifically concerned with climate change mitigation and adaptation, including statutory climate targets, carbon pricing and trading mechanisms, climate-related disclosure requirements and emerging climate litigation frameworks. Distinct from environmental law (see Environmental law, law-lnd-3) and from climate-related corporate governance obligations (see Corporate governance, law-cor-3).","Net zero and emissions reduction obligations, Emissions trading schemes (ETS), Carbon markets and credits, Climate-related disclosure obligations, Physical and transition risk frameworks, Climate litigation, Just transition law"
law-tax,Tax law,law,Law governing the obligations of persons and organisations to pay taxes and their rights in relation to tax authorities.,
law-tax-1,Direct taxation,law-tax,"Taxes levied directly on persons or their income, gains or wealth, and associated compliance and planning obligations.","Income tax, Corporation tax, Capital gains tax, Inheritance and estate taxes, Wealth taxes, Withholding tax, Transfer pricing, Anti-avoidance rules, BEPS and Pillar Two, Double tax treaties, Tax disputes and appeals"
law-tax-2,Indirect taxation,law-tax,"Taxes levied on transactions or consumption, which can be passed on to the ultimate consumer or another party.","Sales tax, GST, Customs duties, Excise duties, Transfer taxes, Digital services tax, Environmental taxes"
law-wro,Wrongdoing,law,"Criminal offences and analogous wrongs subject to public enforcement or prosecution, organised by the nature of the wrongdoing rather than by severity or procedure. Excludes legal issues within other categories (e.g. competition law, national security, family > domestic abuse).",
law-wro-1,Violence,law-wro,"Wrongdoing involving physical violence or threats of violence to persons, including assault, homicide, sexual offences, kidnapping. ","Assault and battery, Homicide, Sexual offences, Kidnapping and false imprisonment, Blackmail and extortion, Robbery, Hate crimes, Criminal law, Civil liability, Regulatory issues, Professional discipline issues"
law-wro-2,Financial and property wrongdoing,law-wro,"Wrongdoing involving financial dishonesty, market misconduct, corruption, property crime and related proceeds of crime. Covers commercial bribery and corruption generally. Bribery specifically in the context of misconduct by or of public officials is additionally covered in Justice and administration misconduct (law-wro-5); both types should be tagged where relevant.","Fraud and deception, Theft and dishonesty offences, False accounting, Money laundering, Corruption and bribery, Criminal damage, Market abuse (criminal), Forgery and counterfeiting, Embezzlement, Insider trading, Proceeds of crime and confiscation, Tax evasion, Criminal law, Civil liability, Regulatory issues, Professional discipline issues"
law-wro-3,Illicit goods and markets,law-wro,"Wrongdoing involving the production, trade or possession of prohibited goods, unlicensed activities and participation in illegal markets.","Drugs offences, Weapons possession and trafficking, Arms trade offences, Wildlife and environmental crime, Human trafficking and modern slavery, Prostitution offences, Counterfeit goods, Smuggling, Export control violations, Poisons and explosives, Criminal law, Civil liability, Regulatory issues, Professional discipline issues"
law-wro-4,Environmental and safety misconduct,law-wro,"Wrongdoing involving environmental harm or breaches of safety obligations, including pollution, health and safety violations, corporate manslaughter and transport safety offences.","Pollution offences, Health and safety violations, Public health offences, Product safety offences, Road traffic offences, Aviation and maritime safety offences, Wildlife crime, Animal cruelty, Criminal law, Civil liability, Regulatory issues, Professional discipline issues"
law-wro-5,Justice and administration misconduct,law-wro,"Wrongdoing undermining the administration of justice or public administration, including perjury, contempt, interference with witnesses and misconduct in office.  Bribery of officials here refers to corruption in the context of public administration. Commercial bribery more broadly is in Financial and property wrongdoing (law-wro-2).","Perjury, Witness intimidation and tampering, Perversion of the course of justice, Criminal contempt of court, Bribery of officials, Prison escape, Resisting arrest, Criminal law, Civil liability, Regulatory issues, Professional discipline issues"
